40.1086,4.7302
45.5003,8.4897
49.7870,13.4714
52.6999,19.3624
54.0565,25.7927
53.7713,32.3596
51.8625,38.6479
48.4490,44.2646
43.7467,48.8551
38.0487,52.1332
31.7170,53.8907
25.1457,54.0184
18.7490,52.5076
12.9296,49.4541
8.0526,45.0492
4.4234,39.5686
2.2718,33.3601
1.7318,26.8092
2.8377,20.3309
5.5202,14.3307
9.6103,9.1862
14.8514,5.2207
20.9139,2.6833
27.4165,1.7333
33.9524,2.4300
40.1086,4.7302
45.5003,8.4897
49.7870,13.4714
52.6999,19.3624
54.0565,25.7927
53.7713,32.3596
51.8625,38.6479
48.4490,44.2646
43.7467,48.8551
38.0487,52.1332
31.7170,53.8907
25.1457,54.0184
18.7490,52.5076
12.9296,49.4541
8.0526,45.0492
4.4234,39.5686
2.2718,33.3601
1.7318,26.8092
2.8377,20.3309
5.5202,14.3307
9.6103,9.1862
14.8514,5.2207
20.9139,2.6833
27.4165,1.7333
33.9524,2.4300
